text,bbox,font_size,font_name,page_num,page_width,page_height,font_weight,x,y,norm_x,norm_y,text_length,num_words,is_all_caps,is_centered,numbering_depth,relative_font_size,percent_punct
Overview,"(252.64999389648438, 189.62002563476562, 365.9539489746094, 216.38002014160156)",24.0,"Arial,Bold",1,612.0,792.0,1,252.64999389648438,189.62002563476562,0.4128267874125562,0.23941922428632023,8,1,0,1,0,2.40963854498791,0.0
Foundation Level Extensions,"(139.3459930419922, 244.84402465820312, 479.3563537597656, 271.6040344238281)",24.0,"Arial,Bold",1,612.0,792.0,1,139.3459930419922,244.84402465820312,0.22768953111436632,0.3091464957805595,27,3,0,1,0,2.40963854498791,0.0
Version 1.0,"(275.69000244140625, 382.4300231933594, 339.8179931640625, 395.80999755859375)",12.0,Arial,1,612.0,792.0,0,275.69000244140625,382.4300231933594,0.4504738601983762,0.48286619090070626,11,2,0,1,0,1.204819272493955,0.09090909090909091
International Software Testing Qualifications Board,"(103.33999633789062, 465.6999816894531, 513.4158935546875, 485.7699890136719)",18.0,Arial,1,612.0,792.0,0,103.33999633789062,465.6999816894531,0.16885620316648794,0.5880050273856732,51,5,0,1,0,1.8072289087409326,0.0
"Copyright Notice This document may be copied in its entirety, or extracts made, if the source is acknowledged.","(70.94400024414062, 652.2861938476562, 484.9912109375, 674.9153442382812)",9.960000038146973,Arial,1,612.0,792.0,0,70.94400024414062,652.2861938476562,0.11592156902637357,0.8235936791005761,110,18,0,1,0,1.0,0.02727272727272727
International,"(447.9100036621094, 38.62621307373047, 505.6795349121094, 49.73161315917969)",9.960000038146973,Arial,2,612.0,792.0,0,447.9100036621094,38.62621307373047,0.7318790909511591,0.04877047105268999,13,1,0,0,0,1.0,0.0
Overview,"(74.42400360107422, 41.58000183105469, 127.78800964355469, 54.96000289916992)",12.0,Arial,2,612.0,792.0,0,74.42400360107422,41.58000183105469,0.1216078490213631,0.05250000231193774,8,1,0,0,0,1.204819272493955,0.0
Software Testing Foundation Level Extension – Agile Tester Qualifications Board,"(74.42400360107422, 50.14617156982422, 522.8401489257812, 72.77159118652344)",9.960000038146973,Arial,2,612.0,792.0,0,74.42400360107422,50.14617156982422,0.1216078490213631,0.0633158731942225,79,10,0,1,0,1.0,0.0
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,"(70.94400024414062, 120.36620330810547, 483.2471923828125, 131.4716033935547)",9.960000038146973,Arial,2,612.0,792.0,0,70.94400024414062,120.36620330810547,0.11592156902637357,0.1519775294294261,92,10,0,1,0,1.0,0.03260869565217391
"Version 2014 Page 2 of 12 May 31, 2014","(76.58135986328125, 718.683349609375, 533.1318359375, 730.0775756835938)",9.960000038146973,Trebuchet MS,2,612.0,792.0,0,76.58135986328125,718.683349609375,0.12513294095307395,0.9074284717290089,38,9,0,1,0,1.0,0.02631578947368421
